rank,IC_mean,ICIR,Sharpe,MDD,Turnover,factor,score
79,0.0038,0.052,-0.1261,-0.173,0.2624,"rank(ts_mean(close * volume, 5) / ts_mean(close * volume, 20))",0.5231
80,0.0041,0.0401,0.2784,-0.177,0.7791,"rank((high - low) / ts_mean(high - low, 20))",0.5195
81,0.0037,0.0255,0.1806,-0.168,0.3744,"-1 * rank(ts_delta(close, 5)) * rank(ts_std(returns, 5))",0.5122
82,0.0041,0.0445,0.0236,-0.1191,0.3039,"rank(ts_corr(vwap - close, volume, 10))",0.5108
83,-0.0009,-0.0082,0.8351,-0.0769,0.1328,"rank(ts_mean(volume, 5) / ts_std(close, 5))",0.504
84,0.0017,0.0165,0.1527,-0.2081,0.3883,"rank(ts_mean(abs(returns), 5) / ts_mean(abs(returns), 60))",0.5012
85,0.0022,0.0222,-0.1028,-0.2447,0.3429,"rank(ts_delta(ts_mean(abs(close - open), 5), 5))",0.4987
86,-0.0017,-0.0107,0.2564,-0.3042,0.3152,"rank(ts_max(returns, 5))",0.4981
87,0.0021,0.0319,0.2573,-0.1097,0.5047,"-1 * zscore(close / ts_mean(close, 20) - 1) * zscore(volume / adv20)",0.4947
88,0.0034,0.0223,0.0854,-0.1607,0.3948,"-1 * rank(ts_mean(returns, 5)) * rank(ts_std(returns, 5))",0.4935
89,0.0017,0.0084,0.0686,-0.1801,0.1324,"rank(ts_mean(close, 60) / close - 1)",0.4898
90,0.0017,0.0167,-0.1395,-0.2599,0.3709,"rank(ts_std(returns, 5) / ts_std(returns, 60))",0.4889
91,0.0017,0.0167,-0.1395,-0.2599,0.3709,"zscore(ts_std(returns, 5) / ts_std(returns, 60))",0.4889
92,0.002,0.0194,-0.2211,-0.254,0.3881,"rank(ts_std(returns, 5) / ts_std(returns, 20))",0.4823
93,-0.0004,-0.0044,0.5885,-0.1154,0.6363,"rank(log(volume / adv20) * sign(ts_delta(close, 5)))",0.4658
94,0.001,0.0078,0.0842,-0.1699,0.4346,"rank(ts_delta(close, 40)) * rank(ts_delta(volume, 10))",0.4653
95,-0.0017,-0.0084,-0.0686,-0.2563,0.1324,"rank(log(close) - log(ts_mean(close, 60)))",0.4641
96,0.0012,0.0084,-0.0741,-0.184,0.3102,"zscore(ts_mean(high - close, 10) / ts_mean(close - low, 10))",0.463
97,0.0025,0.0222,0.0309,-0.1251,0.5602,"-1 * rank(ts_delta(close, 5)) * rank(ts_delta(volume, 5) / adv20)",0.4623
98,0.0012,0.0166,-0.0797,-0.1484,0.3757,"-1 * zscore(ts_delta(close, 2)) * zscore(ts_delta(close, 2) - ts_delta(close, 5))",0.4574
99,0.0007,0.0058,0.208,-0.1197,0.6067,"-rank(ts_delta(close, 3) / ts_std(close, 20)) * rank(volume / adv20)",0.4475
100,0.0031,0.0284,-0.4859,-0.1969,0.6052,"-1 * rank(ts_corr(close, volume, 5)) * rank(abs(ts_delta(close, 5)) / close)",0.4394
101,-0.0045,-0.0226,-0.6566,-0.4587,0.1254,"rank(close / (ts_max(high, 20) - ts_min(low, 20)))",0.4381
102,0.0009,0.0071,-0.4624,-0.2709,0.6008,"-1 * rank(ts_delta(volume, 5) * ts_delta(close, 5)) * sign(ts_delta(close, 5))",0.4292
103,-0.0057,-0.0268,-0.7279,-0.4794,0.1084,"-rank(power(ts_std(returns, 20), 2))",0.428
104,-0.0057,-0.0268,-0.7279,-0.4794,0.1084,"rank(-ts_std(returns, 20))",0.428
105,-0.0057,-0.0268,-0.7279,-0.4794,0.1084,"rank(-1 * ts_std(returns, 20))",0.428
106,-0.0059,-0.0275,-0.6895,-0.4697,0.1064,"-rank(ts_mean(power(returns, 2), 20))",0.4273
107,-0.0003,-0.005,-0.0849,-0.1608,0.3735,"zscore(ts_mean(returns, 5)) * zscore(ts_mean(volume, 5) / adv20)",0.4273
108,-0.002,-0.0125,-0.0032,-0.122,0.0867,"rank(ts_mean(close, 40) - close) / rank(ts_std(close, 40))",0.425
109,0.0013,0.0126,-0.2017,-0.1602,0.7089,"rank((close - vwap) / (ts_std(close, 20) + 0.0001)) * rank(volume / adv20)",0.4228
110,-0.0006,-0.0087,-0.0322,-0.1192,0.2422,"zscore(ts_std(volume, 10) / ts_mean(volume, 10))",0.422
111,-0.0029,-0.0269,0.2672,-0.1183,0.2502,"rank(ts_corr(vwap, volume, 15))",0.4192
112,-0.0056,-0.0264,-0.7525,-0.4669,0.1924,"-1 * rank(ts_mean(abs(returns) / (volume / adv20 + 0.0001), 10))",0.4172
113,-0.0014,-0.0147,-0.0268,-0.1412,0.2897,"rank(ts_corr(close, log(volume), 10)) - rank(ts_corr(close, log(volume), 30))",0.4155
114,-0.0016,-0.0243,-0.0115,-0.1505,0.1723,"zscore(ts_std(returns, 20)) * zscore(-ts_delta(close, 20) / close)",0.4145
115,-0.0025,-0.0186,-0.3678,-0.2606,0.2019,"rank(ts_mean((close - vwap) * volume, 10))",0.4141
116,-0.0073,-0.0328,-0.8063,-0.5095,0.1286,"rank(-1 * ts_mean((high - low) / close, 10))",0.4138
117,-0.0028,-0.019,-0.2055,-0.2143,0.2895,"rank(ts_mean(close / vwap, 10))",0.4088
118,-0.004,-0.0286,0.2125,-0.1549,0.5028,"power(rank(ts_delta(close, 5)), 2) * sign(ts_delta(close, 5))",0.4023
119,-0.0032,-0.0346,0.2886,-0.1455,0.5185,"-rank(ts_std(returns, 5) / ts_mean(abs(returns), 5))",0.402
120,-0.0033,-0.0222,-0.4011,-0.2942,0.4034,"rank(ts_mean(close / vwap, 5))",0.4005
121,-0.0023,-0.0148,-0.4717,-0.2321,0.2265,"rank(close - ts_min(low, 20))",0.3985
122,-0.0055,-0.0281,-0.3898,-0.3011,0.2478,"rank(close / ts_max(close, 60))",0.3969
123,-0.0059,-0.0329,-0.744,-0.3969,0.0915,"-rank(ts_max(abs(returns), 20))",0.3929
124,-0.0012,-0.0145,-0.369,-0.1419,0.1615,"rank(ts_std(volume, 20) / adv20) * sign(-ts_delta(ts_std(returns, 10), 5))",0.3898
125,-0.0029,-0.0293,0.0755,-0.1269,0.4146,"rank(ts_delta(ts_corr(close, volume, 10), 5))",0.3888
126,-0.0081,-0.0392,-0.6029,-0.4109,0.1937,"-1 * rank(ts_mean(high / close - 1, 10))",0.388
127,-0.0079,-0.0416,-0.6675,-0.4382,0.2053,"zscore(ts_min(low, 10) / ts_max(high, 10))",0.3871
128,-0.0082,-0.0437,-0.3127,-0.3048,0.1974,"rank(ts_delta(close, 20) / close)",0.378
129,-0.001,-0.009,-0.2916,-0.1435,0.6878,"rank((high - low) / (ts_max(high, 10) - ts_min(low, 10) + 0.001))",0.3727
130,-0.0097,-0.0464,-0.7579,-0.4655,0.2259,"-zscore(ts_mean(high - low, 5) / close)",0.3714
131,-0.0059,-0.0369,-0.1514,-0.2075,0.3915,"rank(ts_mean(returns, 5)) - rank(ts_mean(returns, 20))",0.37
132,-0.0051,-0.0351,-0.2572,-0.186,0.2207,"rank(ts_mean(volume * sign(returns), 20) / ts_mean(volume, 20))",0.3689
133,-0.004,-0.034,-0.3015,-0.1854,0.2834,"rank(ts_delta(close, 10)) * rank(ts_mean(volume, 5) / ts_mean(volume, 20))",0.3663
134,-0.0051,-0.0343,-0.3675,-0.2053,0.22,"rank(ts_mean(sign(returns) * log(volume / adv20 + 1), 20))",0.3647
135,-0.008,-0.0448,-0.1294,-0.2091,0.2233,"rank(ts_mean(returns, 20) / ts_std(returns, 20))",0.3645
136,-0.0096,-0.0514,-0.4147,-0.3131,0.1327,"rank(ts_mean(close, 5) / ts_mean(close, 20) - 1)",0.3586
137,-0.0091,-0.0528,-0.5637,-0.3527,0.314,"zscore(ts_mean(returns, 10)) * rank(ts_corr(close, volume, 10))",0.3447
138,-0.0085,-0.0517,-0.151,-0.192,0.2487,"ts_delta(close, 20) / (ts_std(close, 60) + 0.001)",0.3445
139,-0.0069,-0.0429,-0.2852,-0.2133,0.4246,"rank(close - ts_mean(close, 5)) - rank(close - ts_mean(close, 40))",0.3442
140,-0.0115,-0.0615,-0.4843,-0.3833,0.2785,"rank(close / ts_mean(close, 10)) * rank(close / ts_mean(close, 40))",0.3435
141,-0.0051,-0.0537,-0.2029,-0.2084,0.4657,"rank(ts_delta(volume, 5) * ts_delta(close, 5))",0.3426
142,-0.0117,-0.0629,-0.5373,-0.3974,0.244,"rank(ts_delta(vwap, 10) / vwap)",0.3421
143,-0.0104,-0.0673,-0.1117,-0.2611,0.2926,"rank(ts_std(returns, 5)) * sign(ts_delta(close, 5))",0.3398
144,-0.007,-0.0481,-0.6829,-0.3297,0.3222,"rank(ts_mean(close - open, 5))",0.3396
145,-0.0087,-0.0528,-0.5008,-0.2693,0.1139,"rank(ts_mean(close, 5) - ts_mean(close, 20))",0.3393
146,-0.011,-0.0639,-0.3736,-0.3383,0.3106,"rank(close / ts_min(close, 20))",0.3378
147,-0.0081,-0.0499,-0.7916,-0.355,0.2198,"rank(ts_delta(high, 10))",0.3359
148,-0.0084,-0.0505,-0.4145,-0.2814,0.4452,"rank(ts_delta(ts_delta(close, 5), 5) / close)",0.3351
149,-0.0118,-0.0688,-0.6225,-0.4207,0.2329,"zscore(ts_mean(returns * volume, 10) / ts_mean(volume, 10))",0.3336
150,-0.0114,-0.0673,-0.6171,-0.4034,0.219,"rank(ts_mean(returns * (volume / adv20), 10))",0.3332
151,-0.0102,-0.0584,-0.1911,-0.2329,0.3354,"rank(ts_mean(returns, 5)) - rank(ts_mean(returns, 60))",0.3321
152,-0.0088,-0.0554,-0.504,-0.2871,0.2906,"rank(ts_delta(high, 5) + ts_delta(low, 5))",0.3297
153,-0.0116,-0.0683,-0.6443,-0.4065,0.2242,"rank(ts_mean(returns * volume, 10) / (adv20 + 0.001))",0.3289
154,-0.0093,-0.0571,-0.7425,-0.3472,0.2536,"rank(ts_delta(vwap, 10) * (volume / adv20))",0.3222
155,-0.0129,-0.07,-0.6967,-0.4225,0.2055,"rank(vwap / ts_mean(vwap, 20))",0.3221
156,-0.0068,-0.056,-0.5335,-0.2752,0.4619,"rank(ts_delta(close, 10)) * rank(ts_delta(volume, 10))",0.3198
157,-0.0096,-0.0582,-0.5631,-0.2736,0.1909,"zscore(ts_delta(close, 10)) + zscore(ts_delta(close, 20))",0.3187
158,-0.0114,-0.0687,-0.7351,-0.4165,0.2997,"ts_delta(rank(close), 10)",0.3183
159,-0.0085,-0.0592,-0.2955,-0.1993,0.3157,"ts_mean(sign(returns), 10)",0.3183
160,-0.0117,-0.0681,-0.6779,-0.3979,0.324,"ts_mean(sign(returns) * rank(abs(returns)), 10)",0.3162
161,-0.0113,-0.0727,-0.5848,-0.3861,0.3701,"ts_delta(rank(vwap), 5)",0.3151
162,-0.0125,-0.0731,-0.6185,-0.4056,0.3299,"rank(ts_mean(returns * (volume / adv20), 5))",0.3147
163,-0.0049,-0.0466,-1.372,-0.379,0.0533,"-1 * rank(ts_mean((close - low) / (high - low + 0.0001) * volume, 10))",0.3123
164,-0.012,-0.0775,-0.5682,-0.3513,0.1829,"zscore(ts_mean(returns * power(volume / adv20, 2), 10))",0.3087
165,-0.0115,-0.0771,-0.5877,-0.3444,0.182,"rank(ts_mean((vwap - open) / (open + 0.0001) * volume, 10))",0.3072
166,-0.0124,-0.0801,-0.6025,-0.4325,0.4847,rank(returns * volume) ,0.3066
167,-0.0059,-0.0511,-0.8921,-0.2626,0.1944,"rank(ts_max(volume, 20) / adv20) * rank(ts_delta(close, 20))",0.306
168,-0.0106,-0.0646,-0.5823,-0.2998,0.3028,"ts_delta(ts_mean(close, 5), 5) / ts_std(close, 20)",0.3056
169,-0.0114,-0.0734,-0.8321,-0.4999,0.7041,rank(close / vwap),0.3031
170,-0.0124,-0.0735,-0.3591,-0.2954,0.3994,"rank(ts_min(close, 10) / close - 1) * -1",0.3021
171,-0.0088,-0.0612,-0.4352,-0.209,0.3601,"ts_delta(ts_delta(close, 5), 5)",0.3004
172,-0.0113,-0.0748,-0.9847,-0.5357,0.6868,zscore((close - vwap) / close * log(volume / adv20 + 1)),0.2985
173,-0.0109,-0.0708,-0.6301,-0.3388,0.3919,"ts_delta(close, 5) * rank(volume / adv20)",0.2982
174,-0.011,-0.0694,-0.6221,-0.3174,0.3229,"sign(ts_delta(close, 5)) * rank(abs(ts_delta(close, 5)))",0.298
175,-0.0029,-0.0376,-1.0796,-0.2285,0.3508,"rank(ts_corr(low, volume, 10)) - rank(ts_corr(high, volume, 10))",0.2959
176,-0.0092,-0.0752,-0.3455,-0.2014,0.2534,"rank(ts_std(volume, 10) / ts_mean(volume, 10)) * sign(ts_delta(close, 5))",0.2947
177,-0.0113,-0.0651,-0.5951,-0.3356,0.5782,"ts_delta(close, 3) / (ts_max(high, 10) - ts_min(low, 10) + 0.001)",0.2945
178,-0.0047,-0.0755,-0.321,-0.2152,0.6627,"zscore(ts_delta(volume / adv20, 5)) * sign(ts_delta(close, 5))",0.2944
179,-0.012,-0.0726,-0.5776,-0.3001,0.2612,"rank(ts_delta(close, 10)) - rank(ts_delta(close, 60))",0.2928
180,-0.0088,-0.076,-0.2206,-0.1621,0.3085,"rank(ts_mean(volume, 20) / ts_mean(volume, 5) - 1) * sign(ts_delta(close, 5))",0.2923
181,-0.0062,-0.082,-0.4146,-0.2156,0.3312,"rank(ts_corr(rank(returns), rank(volume), 10))",0.2914
182,-0.0117,-0.067,-0.7387,-0.3695,0.5296,"rank(ts_mean(returns, 3) / (ts_std(returns, 20) + 0.001))",0.2894
183,-0.0108,-0.0751,-0.7267,-0.3248,0.3082,"rank(ts_mean(volume * sign(returns), 10) / adv20)",0.2842
184,-0.014,-0.0811,-0.7771,-0.4213,0.383,"rank(ts_delta(close, 5) / close) - rank(ts_std(returns, 5))",0.2835
185,-0.0109,-0.0927,-0.3371,-0.2565,0.2757,"rank(ts_corr(returns, volume / adv20, 10))",0.2822
186,-0.0131,-0.0755,-1.2341,-0.5024,0.3037,"rank(ts_delta(close, 5)) * rank(1 / (ts_std(returns, 10) + 0.001))",0.2781
187,-0.0074,-0.0743,-0.5908,-0.2554,0.5489,"rank(ts_corr(close, volume, 5))",0.2766
188,-0.0125,-0.0734,-0.6223,-0.325,0.5487,"ts_delta(close, 10) / (ts_max(close, 10) - ts_min(close, 10) + 0.001)",0.2747
189,-0.0096,-0.0718,-1.0343,-0.3998,0.5387,rank((close - vwap) * (volume / adv20)),0.271
190,-0.013,-0.079,-0.8837,-0.3679,0.2679,"rank(ts_delta(close, 3) + ts_delta(close, 6) + ts_delta(close, 12))",0.27
191,-0.0079,-0.0782,-0.8642,-0.376,0.702,rank(log(volume / adv20) * returns),0.2698
192,-0.013,-0.077,-0.6502,-0.3295,0.528,"ts_delta(close, 10) / ts_std(close, 10)",0.2679
193,-0.0101,-0.0778,-0.9385,-0.3914,0.6475,"rank(ts_min(volume, 10) / ts_max(volume, 10)) * rank(returns)",0.2616
194,-0.0134,-0.08,-0.4505,-0.2438,0.466,"rank((close - ts_min(close, 20)) / (ts_max(close, 20) - ts_min(close, 20)))",0.2598
195,-0.0134,-0.0805,-0.5808,-0.2803,0.4598,"rank((close - ts_min(close, 20)) / (ts_max(close, 20) - ts_min(close, 20) + 0.001))",0.2577
196,-0.0141,-0.0858,-0.881,-0.3792,0.3206,"rank(ts_mean(volume * returns, 10) / ts_std(volume * returns, 10))",0.2572
197,-0.0141,-0.0843,-1.1714,-0.4537,0.3789,"rank(ts_delta(vwap, 10) / ts_std(close, 20))",0.2491
198,-0.0127,-0.0908,-0.5262,-0.2032,0.2195,"rank(close - ts_mean(close, 10)) / (ts_std(close, 10) + 0.001)",0.2443
199,-0.0111,-0.082,-1.1112,-0.4194,0.7872,zscore((close - vwap) / (high - low + 0.0001)),0.2343
200,-0.0138,-0.0975,-1.1473,-0.4193,0.6755,"rank((close - low) / (high - low + 0.001)) * rank(ts_delta(close, 5))",0.2066
201,-0.0171,-0.1096,-1.2051,-0.5021,0.6375,"rank(close / open) * rank(ts_delta(close, 10))",0.1998
202,-0.0165,-0.1269,-1.3067,-0.4319,0.5467,"rank((close - ts_min(close, 20)) / (ts_max(close, 20) - ts_min(close, 20) + 0.0001)) - rank((volume - ts_min(volume, 20)) / (ts_max(volume, 20) - ts_min(volume, 20) + 0.0001))",0.1539
203,-0.0096,-0.1364,-0.9703,-0.2692,0.7048,"rank(log(ts_mean(volume, 5)) - log(volume))",0.1446
204,,0.0,0.2842,-0.0597,0.0,"rank(ts_corr(ts_delta(close, 1), ts_delta(volume, 1), 20))",
205,,0.0,0.324,-0.0597,0.0,"rank(-ts_corr(ts_delta(close, 5), ts_mean(volume, 5) - volume, 10))",
206,,0.0,0.2842,-0.0597,0.0,"rank(ts_std(close / ts_mean(close, 10), 20))",
207,,0.0,0.2842,-0.0597,0.0,"rank(ts_std(ts_std(returns, 5), 20))",
208,,0.0,0.2842,-0.0597,0.0,"-1 * rank(ts_corr(ts_mean(close, 5), ts_mean(volume, 5), 20))",
209,,0.0,0.0,,,"-1 * rank(ts_mean(ts_delta(volume, 1) * ts_delta(close, 1), 10))",
210,,0.0,0.2842,-0.0597,0.0,"-rank(ts_std(ts_std(returns, 10), 20))",
211,,0.0,0.2842,-0.0597,0.0,"rank(ts_corr(ts_std(returns, 5), volume, 20))",
212,,0.0,0.2842,-0.0597,0.0,"rank(ts_corr(ts_std(returns, 5), ts_delta(close, 5), 20))",
213,,0.0,0.2842,-0.0597,0.0,"rank(ts_corr(returns, ts_std(returns, 5), 20))",
214,,0.0,0.2842,-0.0597,0.0,"rank(ts_std(close - ts_mean(close, 5), 20))",
215,,0.0,0.2842,-0.0597,0.0,"rank(ts_corr(ts_std(returns, 10), adv20, 20))",
216,,0.0,0.0,,,"-rank(ts_mean(power(returns - ts_mean(returns, 20), 2), 20))",
